TMD:	 WSe2 

band  1
-0.09080329 	 -1.34891342
-0.08776859 	 -1.35944398
-0.08473389 	 -1.37018609
-0.08169919 	 -1.38114259
-0.07866448 	 -1.39231620
-0.07562978 	 -1.40370954
-0.07259508 	 -1.41532510
-0.04528277 	 -1.53021665
0.00023774 	 -1.76187762
0.03968885 	 -1.55611377
0.09734816 	 -1.32690851
0.10038287 	 -1.31702602
0.10341757 	 -1.30734222
0.10645227 	 -1.29785379
0.10948697 	 -1.28855731
0.11252167 	 -1.27944929
0.11555637 	 -1.27052615
0.11859107 	 -1.26178427
0.12162577 	 -1.25321992
0.12466047 	 -1.24482935
0.12769517 	 -1.23660875
0.13072987 	 -1.22855423
0.13376457 	 -1.22066190
0.13679928 	 -1.21292781
0.13983398 	 -1.20534797
0.14286868 	 -1.19791839
0.14590338 	 -1.19063504
0.14893808 	 -1.18349388
0.15197278 	 -1.17649086
0.15500748 	 -1.16962192
0.15804218 	 -1.16288303
0.16107688 	 -1.15627013
0.16411158 	 -1.14977920
0.16714628 	 -1.14340622
0.17018098 	 -1.13714720
0.17321569 	 -1.13099818
0.17625039 	 -1.12495523
0.17928509 	 -1.11901444
0.18231979 	 -1.11317196
0.18535449 	 -1.10742398
0.18838919 	 -1.10176672
0.19142389 	 -1.09619646
0.19445859 	 -1.09070953
0.19749329 	 -1.08530232
0.20052799 	 -1.07997128
0.20356269 	 -1.07471290
0.20659739 	 -1.06952375
0.20963210 	 -1.06440046
0.21266680 	 -1.05933971
0.21570150 	 -1.05433827
0.21873620 	 -1.04939295
0.22177090 	 -1.04450065
0.22480560 	 -1.03965832
0.22784030 	 -1.03486299
0.23087500 	 -1.03011176
0.23390970 	 -1.02540178
0.23694440 	 -1.02073029
0.23997910 	 -1.01609458
0.24301380 	 -1.01149202
0.24604851 	 -1.00692006
0.24908321 	 -1.00237618
0.25211791 	 -0.99785795
0.25515261 	 -0.99336301
0.25818731 	 -0.98888906
0.26122201 	 -0.98443384
0.26425671 	 -0.97999520
0.26729141 	 -0.97557100
0.27032611 	 -0.97115920
0.27336081 	 -0.96675779
0.27639551 	 -0.96236485
0.27943021 	 -0.95797848
0.28246492 	 -0.95359688
0.28549962 	 -0.94921826
0.28853432 	 -0.94484091
0.29156902 	 -0.94046317
0.29460372 	 -0.93608342
0.29763842 	 -0.93170012
0.30067312 	 -0.92731173
0.30370782 	 -0.92291681
0.30674252 	 -0.91851393
0.30977722 	 -0.91410173
0.31281192 	 -0.90967888
0.31584663 	 -0.90524409
0.31888133 	 -0.90079614
0.32191603 	 -0.89633383
0.32495073 	 -0.89185601
0.32798543 	 -0.88736156
0.33102013 	 -0.88284942
0.33405483 	 -0.87831855
0.33708953 	 -0.87376796
0.34012423 	 -0.86919671
0.34315893 	 -0.86460386
0.34619363 	 -0.85998856
0.34922833 	 -0.85534995
0.35226304 	 -0.85068723
0.35529774 	 -0.84599964
0.35833244 	 -0.84128645
0.36136714 	 -0.83654697
0.36440184 	 -0.83178055
0.36743654 	 -0.82698655
0.37047124 	 -0.82216441
0.37350594 	 -0.81731358
0.37654064 	 -0.81243354
0.37957534 	 -0.80752384
0.38261004 	 -0.80258405
0.38564474 	 -0.79761377
0.38867945 	 -0.79261265
0.39171415 	 -0.78758039
0.39474885 	 -0.78251671
0.39778355 	 -0.77742140
0.40081825 	 -0.77229427
0.40385295 	 -0.76713519
0.40688765 	 -0.76194407
0.40992235 	 -0.75672088
0.41295705 	 -0.75146563
