TMD:	 WSe2 

band  1
-0.22654740 	 -1.03929749
-0.22326411 	 -1.03662826
-0.21998081 	 -1.03400006
-0.21669751 	 -1.03141301
-0.21341422 	 -1.02886723
-0.21013092 	 -1.02636284
-0.20684763 	 -1.02389990
-0.20356433 	 -1.02147850
-0.20028104 	 -1.01909867
-0.19699774 	 -1.01676046
-0.19371444 	 -1.01446389
-0.19043115 	 -1.01220897
-0.18714785 	 -1.00999569
-0.18386456 	 -1.00782402
-0.18058126 	 -1.00569395
-0.17729797 	 -1.00360543
-0.17401467 	 -1.00155841
-0.17073138 	 -0.99955282
-0.16744808 	 -0.99758859
-0.16416478 	 -0.99566564
-0.16088149 	 -0.99378387
-0.15759819 	 -0.99194320
-0.15431490 	 -0.99014351
-0.15103160 	 -0.98838468
-0.14774831 	 -0.98666661
-0.14446501 	 -0.98498917
-0.14118171 	 -0.98335222
-0.13789842 	 -0.98175564
-0.13461512 	 -0.98019928
-0.13133183 	 -0.97868301
-0.12804853 	 -0.97720667
-0.12476524 	 -0.97577012
-0.12148194 	 -0.97437321
-0.11819864 	 -0.97301579
-0.11491535 	 -0.97169771
-0.11163205 	 -0.97041881
-0.10834876 	 -0.96917895
-0.10506546 	 -0.96797796
-0.10178217 	 -0.96681569
-0.09849887 	 -0.96569200
-0.09521557 	 -0.96460674
-0.09193228 	 -0.96355975
-0.08864898 	 -0.96255089
-0.08536569 	 -0.96158002
-0.08208239 	 -0.96064699
-0.07879910 	 -0.95975168
-0.07551580 	 -0.95889394
-0.07223250 	 -0.95807365
-0.06894921 	 -0.95729068
-0.06566591 	 -0.95654491
-0.06238262 	 -0.95583622
-0.05909932 	 -0.95516451
-0.05581603 	 -0.95452967
-0.05253273 	 -0.95393159
-0.04924944 	 -0.95337019
-0.04596614 	 -0.95284537
-0.04268284 	 -0.95235706
-0.03939955 	 -0.95190517
-0.03611625 	 -0.95148964
-0.03283296 	 -0.95111041
-0.02954966 	 -0.95076743
-0.02626637 	 -0.95046063
-0.02298307 	 -0.95019000
-0.01969977 	 -0.94995548
-0.01641648 	 -0.94975706
-0.01313318 	 -0.94959471
-0.00984989 	 -0.94946844
-0.00656659 	 -0.94937823
-0.00328330 	 -0.94932409
-0.00000000 	 -0.94930604
0.00328330 	 -0.94932409
0.00656659 	 -0.94937823
0.00984989 	 -0.94946844
0.01313318 	 -0.94959471
0.01641648 	 -0.94975706
0.01969977 	 -0.94995548
0.02298307 	 -0.95019000
0.02626637 	 -0.95046063
0.02954966 	 -0.95076743
