TMD:	 WSe2 

band  1
-0.28893002 	 -1.09899610
-0.28564672 	 -1.09563775
-0.28236343 	 -1.09231271
-0.27908013 	 -1.08902170
-0.27579684 	 -1.08576542
-0.27251354 	 -1.08254455
-0.26923025 	 -1.07935976
-0.26594695 	 -1.07621170
-0.26266365 	 -1.07310100
-0.25938036 	 -1.07002828
-0.25609706 	 -1.06699413
-0.25281377 	 -1.06399913
-0.24953047 	 -1.06104384
-0.24624718 	 -1.05812882
-0.24296388 	 -1.05518423
-0.23968058 	 -1.05222102
-0.23639729 	 -1.04931121
-0.23311399 	 -1.04645472
-0.22983070 	 -1.04365147
-0.22654740 	 -1.04090138
-0.22326411 	 -1.03820435
-0.21998081 	 -1.03556027
-0.21669751 	 -1.03296904
-0.21341422 	 -1.03043051
-0.21013092 	 -1.02794455
-0.20684763 	 -1.02551101
-0.20356433 	 -1.02312972
-0.20028104 	 -1.02080050
-0.19699774 	 -1.01852316
-0.19371444 	 -1.01629748
-0.19043115 	 -1.01412325
-0.18714785 	 -1.01200023
-0.18386456 	 -1.00992817
-0.18058126 	 -1.00790678
-0.17729797 	 -1.00593580
-0.17401467 	 -1.00401490
-0.17073138 	 -1.00214377
-0.16744808 	 -1.00032208
-0.16416478 	 -0.99854946
-0.16088149 	 -0.99682554
-0.15759819 	 -0.99514993
-0.15431490 	 -0.99352222
-0.15103160 	 -0.99194198
-0.14774831 	 -0.99040876
-0.14446501 	 -0.98892210
-0.14118171 	 -0.98748151
-0.13789842 	 -0.98608649
-0.13461512 	 -0.98473654
-0.13133183 	 -0.98343110
-0.12804853 	 -0.98216964
-0.12476524 	 -0.98095159
-0.12148194 	 -0.97977636
-0.11819864 	 -0.97864335
-0.11491535 	 -0.97755197
-0.11163205 	 -0.97650158
-0.10834876 	 -0.97549156
-0.10506546 	 -0.97452125
-0.10178217 	 -0.97359001
-0.09849887 	 -0.97269718
-0.09521557 	 -0.97184208
-0.09193228 	 -0.97102404
-0.08864898 	 -0.97024239
-0.08536569 	 -0.96949645
-0.08208239 	 -0.96878555
-0.07879910 	 -0.96810900
-0.07551580 	 -0.96746614
-0.07223250 	 -0.96685630
-0.06894921 	 -0.96627882
-0.06566591 	 -0.96573306
-0.06238262 	 -0.96521839
-0.05909932 	 -0.96473418
-0.05581603 	 -0.96427984
-0.05253273 	 -0.96385478
-0.04924944 	 -0.96345844
-0.04596614 	 -0.96309028
-0.04268284 	 -0.96274979
-0.03939955 	 -0.96243649
-0.03611625 	 -0.96214992
-0.03283296 	 -0.96188966
-0.02954966 	 -0.96165533
-0.02626637 	 -0.96144657
-0.02298307 	 -0.96126307
-0.01969977 	 -0.96110456
-0.01641648 	 -0.96097078
-0.01313318 	 -0.96086156
-0.00984989 	 -0.96077674
-0.00656659 	 -0.96071621
-0.00328330 	 -0.96067991
-0.00000000 	 -0.96066780
0.00328330 	 -0.96067991
0.00656659 	 -0.96071621
0.00984989 	 -0.96077674
0.01313318 	 -0.96086156
0.01641648 	 -0.96097078
0.01969977 	 -0.96110456
0.02298307 	 -0.96126307
0.02626637 	 -0.96144657
0.02954966 	 -0.96165533
0.03283296 	 -0.96188966
0.03611625 	 -0.96214992
0.03939955 	 -0.96243649
0.04268284 	 -0.96274979
0.04596614 	 -0.96309028
0.04924944 	 -0.96345844
0.05253273 	 -0.96385478
0.05581603 	 -0.96427984
0.05909932 	 -0.96473418
